date,strategy,benchmark,invested,turnover,transaction_cost,holdings,stock_stop_exits,portfolio_stop_exits,stop_exits,portfolio_value,cash,qqq
2026-06-12,0.017826036394362088,0.0030678435903457313,1.0000000000000002,0.0,0.0,5,0,0,0,1.586225212663241,-4.401860820291148e-16,0.005884649709950951
2026-06-15,0.08727788691103688,0.03071207516443364,1.0000000000000002,0.0,0.0,5,0,0,0,1.724667597389499,-4.401860820291148e-16,0.0314137577286715
2026-06-16,-0.06034999008574149,-0.011527533040472937,1.0000000000000002,0.0,0.0,5,0,0,0,1.6205839249858431,-4.401860820291148e-16,-0.019005376344086056
2026-06-17,0.029018130724575597,-0.013446899759405606,1.0000000000000002,0.0,0.0,5,0,0,0,1.6676102411712281,-4.401860820291148e-16,-0.010070424464965866
2026-06-18,0.06525754978946807,0.01907141973263804,1.0000000000000002,0.0,0.0,5,0,0,0,1.7764343995138865,-4.401860820291148e-16,0.025065397018726454
2026-06-22,0.030971390987347247,-0.01324877168014249,1.0000000000000002,0.0,0.0,5,0,0,0,1.8314530438646044,-4.401860820291148e-16,-0.0025066970916258757
2026-06-23,-0.08707192233951466,-0.02214884623909863,1.0000000000000002,0.0,0.0,5,0,0,0,1.6719849066607577,-4.401860820291148e-16,-0.03292906023443343
2026-06-24,-0.009549163900457125,-0.004314684308931449,1.0000000000000002,0.0,0.0,5,0,0,0,1.6560188487479637,-4.401860820291148e-16,-0.0042457787430812965
2026-06-25,0.04166937039169527,-0.004633264041098095,1.0000000000000002,0.0,0.0,5,0,0,0,1.7250241115320712,-4.401860820291148e-16,0.008105597928569352
2026-06-26,-0.05496362152811818,-0.0024047068844494923,1.0000000000000002,0.0,0.0,5,0,0,0,1.630210539138944,-4.401860820291148e-16,-0.013763644992880741
2026-06-29,0.06738186612105967,0.020654907457697602,1.0000000000000002,0.0,0.0,5,0,0,0,1.740057167436345,-4.401860820291148e-16,0.02485421502576024
2026-06-30,0.044433598403214036,0.01524313965764712,1.0000000000000002,0.0,0.0,5,0,0,0,1.8173741688128457,-4.401860820291148e-16,0.017014694508894035
2026-07-01,-0.0873968382243171,-0.006625919556629167,1.0000000000000002,0.46976509545978495,0.002340673294866715,5,0,0,0,1.6585414125880567,-4.0158848468863084e-16,-0.015249864204236907
2026-07-02,-0.06379551914842463,-0.007963124466446536,1.0000000000000002,0.0,0.0,5,0,0,0,1.5527339021428401,-4.0158848468863084e-16,-0.017333866541638376
2026-07-06,0.051088752917064495,0.011167641594926225,1.0000000000000002,0.0,0.0,5,0,0,0,1.6320611408153651,-4.0158848468863084e-16,0.014341846758349819
2026-07-07,-0.0750458093969455,-0.011579501063505693,1.0000000000000002,0.0,0.0,5,0,0,0,1.5095817915175738,-4.0158848468863084e-16,-0.018524667275393814
2026-07-08,0.019220736634166125,0.0020124955991183135,1.0000000000000002,0.0,0.0,5,0,0,0,1.5385970655600658,-4.0158848468863084e-16,0.002833260504912616
2026-07-09,0.0477384327345427,0.012996967606148102,1.0000000000000002,0.0,0.0,5,0,0,0,1.6120472780798698,-4.0158848468863084e-16,0.01664230293489255
